Date,spy,baseline,optimized,spy_vami,baseline_vami,optimized_vami
12/26/19,0.005323289,0.069423539,0.000246997,1210.237808,1154.167755,1275.991059
12/27/19,-0.000247724,0.005022141,0.018627245,1209.938003,1159.964148,1299.759257
12/30/19,-0.005513226,-0.029193575,-0.015805026,1203.267342,1126.100647,1279.216527
12/31/19,0.002429301,0.00368621,-0.000592105,1206.19044,1130.251691,1278.459097
1/2/20,0.009351892,0.047186632,-0.003602899,1217.470603,1183.584461,1273.852938
1/3/20,-0.00757226,-0.027930882,-0.010740653,1208.2516,1150.525904,1260.170926
1/6/20,0.003815018,0.008290583,-0.000329144,1212.861101,1160.064434,1259.756148
1/7/20,-0.002811766,0.005333464,-0.01081442,1209.45082,1166.251595,1246.132616
1/8/20,0.005329532,0.01094929,-0.003000443,1215.896627,1179.021222,1242.393665
1/9/20,0.006780706,0.015003155,0.02530787,1224.141264,1196.71026,1273.836003
1/10/20,-0.002877698,-0.00284084,-0.002595697,1220.618556,1193.310598,1270.529511
1/13/20,0.006877283,0.0124182,0.001928691,1229.013096,1208.129367,1272.97997
1/14/20,-0.001524623,-0.003121074,-0.005652593,1227.139314,1204.358706,1265.784332
1/15/20,0.002259887,-0.000796201,-0.002143909,1229.912511,1203.399794,1263.070606
1/16/20,0.008318352,0.015649088,0.008770547,1240.143356,1222.231903,1274.148427
1/17/20,0.003112535,0.001386746,0.014413197,1244.003345,1223.926828,1292.512979
1/20/20,0,0,-0.002735461,1244.003345,1223.926828,1288.97736
1/21/20,-0.001958126,0.003405367,0.017158993,1241.56743,1228.094749,1311.094913
1/22/20,0.000120736,0.002931682,0.006954075,1241.717332,1231.695132,1320.212366
1/23/20,0.001146858,0.000315331,0.001922116,1243.141406,1232.083524,1322.749967
1/24/20,-0.008893042,-0.008939348,0.005703869,1232.086097,1221.069501,1330.29476
1/27/20,-0.016029443,-0.015875112,-0.001150485,1212.336443,1201.684886,1328.764276
1/28/20,0.010479134,0.009337837,-0.002599265,1225.040679,1212.906024,1325.310466
1/29/20,-0.000825966,-0.003263557,0.003663615,1224.028838,1208.947637,1330.165893
1/30/20,0.003245362,0.001667582,-0.002564444,1228.001254,1210.963656,1326.754756
1/31/20,-0.018157959,-0.010905856,-0.000667042,1205.703257,1197.75706,1325.869755
2/3/20,0.007428589,0.003832792,0.00476861,1214.659931,1202.347814,1332.192311
2/4/20,0.015241269,0.003941045,-0.001737732,1233.17289,1207.086321,1329.877319
2/5/20,0.011548046,-0.002320846,0.005903382,1247.413627,1204.28486,1337.728093
2/6/20,0.003364778,-0.002555852,0.020364013,1251.610897,1201.206886,1364.969605
2/7/20,-0.00532966,-0.000845814,-0.011536524,1244.940236,1200.190888,1349.2226
2/10/20,0.007465382,0.00153925,0.002243377,1254.234191,1202.038282,1352.249416
2/11/20,0.001732999,0.000186977,-0.013310688,1256.407777,1202.263035,1334.250045
2/12/20,0.006442761,-0.001557551,-0.009499112,1264.502512,1200.39045,1321.575854
2/13/20,-0.00106692,0.000546098,0.002691624,1263.153389,1201.04598,1325.133039
2/14/20,0.001602089,0.000836561,0,1265.177073,1202.050728,1325.133039
2/17/20,0,0,0.069423539,1265.177073,1202.050728,1417.128464
2/18/20,-0.002577014,0.000773589,-0.001763426,1261.916694,1202.980622,1414.629462
2/19/20,0.004781279,0.003617315,0.003558031,1267.950269,1207.332181,1419.662757
2/20/20,-0.004108293,-0.001026912,-0.001763426,1262.741157,1206.092358,1417.159287
2/21/20,-0.010298264,-0.014115594,0.01024898,1249.737116,1189.067648,1431.683724
2/24/20,-0.033165407,-0.018135795,0.010275942,1208.289075,1167.502961,1446.395623
2/25/20,-0.03030209,-0.009174384,0.001222761,1171.675391,1156.791841,1448.164219
2/26/20,-0.003678234,0.002206186,-0.001109571,1167.365694,1159.343939,1446.557378
2/27/20,-0.044911718,-0.013572886,-0.000853528,1114.937295,1143.608295,1445.3227
2/28/20,-0.004201539,0.00464775,-0.006482807,1110.252842,1148.923501,1435.952952
3/2/20,0.043306555,0.0068707,0,1158.334068,1156.81741,1435.952952
3/3/20,-0.028632437,-0.006608594,-0.003961489,1125.168141,1149.172473,1430.26444
3/4/20,0.04203304,0.008620226,-0.000329144,1172.462379,1159.078599,1429.793677
3/5/20,-0.033241706,0.002663657,0.001625443,1133.487729,1162.165987,1432.117725
3/6/20,-0.016531112,-0.002740396,-0.004433216,1114.749917,1158.981191,1425.768838
